id,name,region,regime_type,gdp,capital,population,public_debt,fx_reserves,energy_reserve,energy_production,energy_consumption,food_reserve,food_production,food_consumption,metals_reserve,metals_production,metals_consumption,trust_gov,social_tension,inequality_gini,climate_risk,co2_annual_emissions,biodiversity_local,pdi,idv,mas,uai,lto,ind,traditional_secular,survival_self_expression,tech_level,security_index,military_gdp_ratio,military_power,water_stress,regime_stability,debt_crisis_prone,conflict_proneness,alliance_block
C12,Russia,Europe,Hybrid,2.071506,0.455721,143826130.0,0.383295,0.597217,2.2058823529411766,0.024999999999999998,0.015663270628705265,9.747791817948318,68.13756149372794,65.27234480043286,26.855281377094315,8.705255662655173,9.042882215015592,0.6,0.3,33.0,0.785787,1.9,0.5856173869999954,93,39,36,95,81,20,5.5,4.5,1.0,0.5,4.0,0.9,0.331809164694839,0.525647564962808,0.4888266593985066,0.5110525335398564,Eurasian
C13,Australia,Oceania,Democracy,1.734451,0.402276,26659922.0,1.00396,0.061703,0.7352941176470588,0.024999999999999998,0.013114697908298832,9.447169200314358,16.662561719840827,16.831002392598876,30.581913597678607,7.309307537239905,7.4222209158881665,0.6,0.3,33.8,0.800844,0.39,0.897334007799996,36,90,61,51,21,71,6.0,8.0,1.0,0.5,2.0,0.7,0.265570078064151,0.5851027157024393,0.4972428797727028,0.3741795627808728,Western
C14,Spain,Europe,Democracy,1.619482,0.33144,48352528.0,1.737709,0.103089,0.7352941176470588,0.024999999999999998,0.012245383235345136,10.470085244993689,22.356498742246433,23.329742101757446,31.911961464426337,7.473008797437633,7.310372895368145,0.6,0.3,33.4,0.535748,0.25,0.5951647471999967,57,51,42,86,48,44,6.5,6.5,1.0,0.5,1.2,0.62,0.3418576692518522,0.5961419414667877,0.2670782805045285,0.3496846286991404,Western
C15,Mexico,North America,Democracy,1.798318,0.429208,129739759.0,0.809778,0.214317,0.5882352941176471,0.024999999999999998,0.013597615218334873,10.033189119520872,83.11867058963362,82.05270169808682,25.125441331477397,7.245886865132801,7.539028549504272,0.6,0.3,43.5,0.615829,0.39,0.6870260240999957,81,30,69,82,24,97,4.0,5.5,1.0,0.5,0.5,0.55,0.3788364965331059,0.6913188773343681,0.2171702480873182,0.3892059041944141,Latin
C16,Indonesia,East Asia,Democracy,1.371169,0.399732,281190067.0,0.534756,0.146359,0.4411764705882353,0.024999999999999998,0.01036781507014277,10.243250903258232,128.2917383228537,130.57855857555302,32.05884990931579,6.371170675656371,6.633313441375836,0.6,0.3,36.1,0.658294,0.72,0.621880993299996,78,14,46,48,62,38,3.0,4.0,1.0,0.5,0.8,0.58,0.5027673506178166,0.5898887194170478,0.5009211165618559,0.3731438265287047,IndoPacific
C17,Netherlands,Europe,Democracy,1.135476,0.231029,17877117.0,0.533674,0.06983,0.29411764705882354,0.016666666666666666,0.00858567046409701,11.03216624119853,9.347513726280743,9.049106936363518,26.312281322542525,4.6712335884176595,4.47807027503234,0.6,0.3,25.7,0.52661,0.16,0.5982122882999976,38,80,14,53,67,68,8.5,8.5,1.0,0.5,1.4,0.64,0.2967958139619332,0.6511791390383492,0.4890669935463257,0.3475064972354517,Western
C18,Saudi Arabia,Middle East,Autocracy,1.218585,0.33978,33702731.0,0.304646,0.457949,0.14705882352941177,0.016666666666666666,0.009214082237309863,8.09955061570437,11.596244803507876,11.704859303717248,28.867028593412112,5.530430458675137,5.444426138468682,0.6,0.3,45.9,0.559968,0.69,0.5466297268999967,95,25,60,80,36,52,2.0,3.5,1.0,0.5,8.0,1.3,0.873894635729088,0.7989027741501268,0.6540806909988632,0.8263221298082706,MENA
C19,Turkey,Europe,Hybrid,1.141243,0.375173,85325965.0,0.379518,0.140868,0.14705882352941177,0.016666666666666666,0.008629276459790839,8.614587344922993,45.637357723402495,44.434306720573275,26.95538012580264,4.857457196750012,4.632848959369214,0.6,0.3,44.5,0.719722,0.47,0.5914674034999963,66,37,45,85,46,49,4.5,5.0,1.0,0.5,2.5,0.75,0.3458512643338287,0.5895459719690443,0.4660501321855795,0.5889895501707939,MENA
C20,Switzerland,Europe,Democracy,0.894425,0.230978,8888822.0,0.177832,0.863892,0.14705882352941177,0.016666666666666666,0.0067630124325392775,8.157739911761025,4.369959229388893,4.1989280789719,30.598482792610945,4.003785798212214,4.120201402713505,0.6,0.3,33.8,0.3446,0.04,0.5991111177999977,34,68,70,58,74,66,8.0,8.0,1.0,0.5,0.7,0.57,0.25810838117474,0.6630694039502144,0.456568116584306,0.4597368636935113,Western
C99,Rest of World,Global South,Mixed,19.035904,12.008408,3332261875.0,5.529361999999992,4.317072000000003,0.0,0.0,0.0,9.69983658023375,1773.3741135736732,1774.045446995388,-191.6081728739489,-188.8770514859387,-192.49506846442597,0.52,0.38,43.0,0.73,10.480000000000004,0.75,70,35,50,70,40,30,4.5,3.5,0.55,0.45,0.028,2.0,0.65,0.45,0.65,0.55,NonAligned
